stringId,default
report.reporting.hospitalDeathCount,Number of deaths
report.reporting.hospitalDischargeCount,Number of discharges
report.reporting.hospitalPatientDayCount,Number of patient days
report.reporting.hospitalTransfersIntoDepartmentCount,Number of transfers into department
report.reporting.hospitalTransfersIntoLocationCount,Number of transfers into location
report.reporting.hospitalTransfersOutOfDepartmentCount,Number of transfers out of department
report.reporting.hospitalTransfersOutOfLocationCount,Number of transfers out of location
report.reporting.imagingArea,Area to be imaged
report.reporting.imagingCancellationReason,Reason for cancellation
report.reporting.imagingCompletedDateTime,Completed date and time
report.reporting.imagingCompletedRequests,Total requests completed
report.reporting.imagingPendingRequests,Total requests with a status of pending
report.reporting.imagingPriority,Priority
report.reporting.imagingRequestDateTime,Request date and time
report.reporting.imagingRequestId,Request ID
report.reporting.imagingRequestingClinician,Requesting clinician
report.reporting.imagingRequests,Imaging requests
report.reporting.imagingStatus,Status
report.reporting.imagingSupervisingClinician,Supervising clinician
report.reporting.imagingTotalRequests,Total new requests
report.reporting.imagingType,Imaging type
report.reporting.insuranceCoverage,Insurance coverage
report.reporting.insurerId,Insurer ID
report.reporting.insurerName,Name of insurer
report.reporting.invoiceFinalisedDateTime,Invoice finalised date and time
report.reporting.invoicePatientPayment,Patient payment
report.reporting.invoicePatientSubtotal,Patient subtotal
report.reporting.invoicePatientTotal,Patient total
report.reporting.invoiceProductAvailableFacilities,Available facilities
report.reporting.invoiceProductCategory,Category
report.reporting.invoiceProductCategoryId,Category ID
report.reporting.invoiceProductId,ID
report.reporting.invoiceProductInsurable,Insurable
report.reporting.invoiceProductLabExternalCode,Lab external code
report.reporting.invoiceProductName,Product name
report.reporting.invoiceProductPriceListCharging,Price list charging
report.reporting.invoiceProductVisibilityStatus,Visibility status
report.reporting.invoiceProductsNoCategory,Invoice products with no category
report.reporting.invoiceTotal,Invoice total
report.reporting.labLaboratory,Laboratory
report.reporting.labRequestCancellationReason,Reason for cancellation
report.reporting.labRequestClinician,Requesting clinician
report.reporting.labRequestCompletedDateTime,Completed date and time
report.reporting.labRequestDateTime,Lab request date and time
report.reporting.labRequestDates,Lab request dates
report.reporting.labRequestDepartment,Requesting department
report.reporting.labRequestId,Request ID
report.reporting.labRequestNewCount,Total new requests
